mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
-0.21353996277608106,0.04506458827877993,0.09409741156124676,-0.37683823959411505,-0.27561127550657544,-0.2230846571762012,-0.1543730615255943,-0.005647443420046576,4.359980418501618,1.3329891336964395
0.2058713046645544,0.030147316249251387,0.852694870176842,-1.4286582813677435,-0.3701047922267886,0.21567352828603314,0.7394545793021164,1.8469891742558255,800.0,0.9961674991189288
0.20187504168987247,0.029164094381533813,0.824885156173882,-1.3529988343009296,-0.3677326181091614,0.2084720663354146,0.7371152465121926,1.7997640389819862,800.0,0.9953404190714865
0.15817590943763618,0.029704256678586744,0.8401632531013792,-1.536463792436329,-0.4091830099287021,0.16465176617641564,0.7057762383195133,1.846537671855522,800.0,0.9954167456567558
-0.19987573810231696,0.029274296262028605,0.8280021360537771,-1.8023770551932616,-0.7569040231176228,-0.21368733205090223,0.37334322323831787,1.4027133435224373,800.0,0.9985207311180153
-0.1595052531509973,0.03086311002603808,0.872940575516722,-1.831364591596005,-0.7812515946506682,-0.15607622190496928,0.42798642315159163,1.5329652241266478,800.0,0.9985701411879737
-0.1791180640524426,0.030512834516876277,0.8630332880042467,-1.8411549947728596,-0.7491375766998314,-0.15313551827324534,0.30029947207451174,1.6524004669501402,800.0,0.9978311585821611
-0.161846610197984,0.031166265297013693,0.8815151014310941,-1.848804367783888,-0.7746460853445329,-0.1399225770343941,0.4359552510555658,1.517087451562757,800.0,0.9989705084038029
-0.1751723193869966,0.02701886155591719,0.7642088090451823,-1.6461545107194582,-0.6727480386863824,-0.23049683314274022,0.3670554870892749,1.3599772344977759,800.0,0.9966137594284312
-0.10904895446335894,0.026811641517341257,0.7583477412661911,-1.585493590837241,-0.6147659146000621,-0.12630473293374106,0.40635146926049714,1.3474585748819656,800.0,0.9996408578291094
-0.2323070425357948,0.02949326212493897,0.8341954259142684,-1.7212882043003752,-0.7891409783733446,-0.24388873115086396,0.2491039216932441,1.4639987308626052,800.0,1.001624480518758
-0.3062169307193474,0.028818620074547073,0.8151136671660402,-1.8571265248270752,-0.8946860906631227,-0.3285503792921719,0.25141404255977257,1.3273451446481392,800.0,1.0001581568952
-0.25552250959066636,0.029466016636572334,0.833424807131037,-1.9276536624067138,-0.8153198906232395,-0.20997385305873434,0.33755703686611105,1.2967663483101717,800.0,1.0025396663781188
-0.25407719860571704,0.007829121124970707,0.22144098552790553,-0.700135509156187,-0.4019539070812152,-0.24918807814367616,-0.10957497774346069,0.18041714573809886,800.0,0.9980582976449401
1.6473818897931356,0.02643226561803403,0.4619375790763834,0.7621539359960461,1.3376735494883278,1.6314214959195035,1.9347674749077919,2.615619609612888,305.4202358272292,1.0180008399832694
-1.003757736839701,0.017998111495759767,0.23673292979552424,-1.5042745930063626,-1.1450410841991787,-0.9788662632064931,-0.8397333347846985,-0.5991183397224172,173.00691823242147,1.0260296981996635
-1.2258197620060796,0.0213532459187976,0.2845841762533226,-1.8989759838022802,-1.393846668317626,-1.2048483883369352,-1.018322165497103,-0.7520912384040026,177.6207474107699,1.0234424785249077
1.1556654427276245,0.01990870487327581,0.2807017103529819,0.6852291750178376,0.9526998030598752,1.1381747091608165,1.3379792277733293,1.7732220543677948,198.7943790115583,1.0176055256190657
1.2115826163506702,0.021591234188375417,0.27756805728159195,0.7575375058555456,1.0161972717391101,1.1741913102265835,1.3835237853700508,1.8273492426241802,165.26619777512315,1.0337548403991723
-0.6651946430187226,0.012857659677851794,0.2027650081847692,-1.111581063565805,-0.7959853863039831,-0.650114978502963,-0.5165350184135766,-0.3251331446356118,248.69220105148625,1.0135336770289267
0.5661756070410927,0.024374524158855236,0.6894156528368747,-0.7511104772831217,0.08261342553555517,0.6110204208228159,1.0371390049831726,1.9454442944426564,800.0,1.0023180214681455
0.5821725589295679,0.026347377623061292,0.6955143545130514,-0.7701275859504263,0.12518867595078306,0.543313655378604,1.1031307266276924,1.8798917918208793,696.8469497641687,0.9989986246640912
0.14271457671667556,0.002791712122723481,0.039453033366364555,0.07409387206449185,0.11542229253860696,0.13975559553539274,0.16736048435759335,0.2312074512451129,199.7190698097385,1.0205669078348443
-0.14757914833876187,0.0028947201644877593,0.040856465773211455,-0.24717006178911746,-0.17210116950824053,-0.1446208396424923,-0.11829510931157719,-0.07459690863249864,199.20875398733284,1.0208901026136141
-1.6606130899409037,0.027567076926773564,0.31038919550857696,-2.311616193033618,-1.863727268131498,-1.6415902427460067,-1.430014942134048,-1.11698358147157,126.77445559307604,1.0423137741685158
1.6458103822288828,0.027434399825902282,0.30830384939068484,1.1077767542963937,1.4150678248850799,1.6284631652934225,1.8510917186433873,2.302110739895721,126.2894195203849,1.0430100728847187
0.4296884018276361,0.007996047507341862,0.09043181035047128,0.27675373136680664,0.3625806545797591,0.4231143901965938,0.48567284527720744,0.6224581092338418,127.90623594410968,1.0449115787080239
-0.3975246132581088,0.0075920552507206486,0.08487308394858332,-0.5804520778511683,-0.4517346146000293,-0.3890815543593217,-0.33663918300486945,-0.25919331218606534,124.97445341579015,1.0477708867109914
1.2007017582260349,0.02101256432504595,0.22255582664629978,0.8074140862210215,1.0451563525769092,1.1833378561711805,1.3437891430408468,1.6806921733373827,112.18113400299619,1.0490733662080056
-1.194935646355874,0.020851530770107145,0.2216856611019655,-1.654959286593745,-1.3377932689522436,-1.1778255474387909,-1.038848678186878,-0.8061141424754679,113.03145552307024,1.0484857183250316
